RESIDENCIA/ORIGEN,Países,Viajeros y pernoctaciones,Total,Año,mes,Nom_mes
Total,,Pernoctaciones,29785395,2022,5,Mayo
Total,,Pernoctaciones,25197638,2022,4,Abril
Total,,Pernoctaciones,17632648,2022,3,Marzo
Total,,Pernoctaciones,13623546,2022,2,Febrero
Total,,Pernoctaciones,10598385,2022,1,Enero
Total,,Pernoctaciones,13220155,2021,12,Diciembre
Total,,Pernoctaciones,14930647,2021,11,Noviembre
Total,,Pernoctaciones,23935219,2021,10,Octubre
Total,,Pernoctaciones,25679512,2021,9,Septiembre
Total,,Pernoctaciones,34460041,2021,8,Agosto
Total,,Pernoctaciones,26351353,2021,7,Julio
Total,,Pernoctaciones,14259621,2021,6,Junio
Total,,Pernoctaciones,7342738,2021,5,Mayo
Total,,Pernoctaciones,4142415,2021,4,Abril
Total,,Pernoctaciones,3588559,2021,3,Marzo
Total,,Pernoctaciones,2436961,2021,2,Febrero
Total,,Pernoctaciones,2459473,2021,1,Enero
Total,,Pernoctaciones,3245991,2020,12,Diciembre
Total,,Pernoctaciones,2874269,2020,11,Noviembre
Total,,Pernoctaciones,5128825,2020,10,Octubre
Total,,Pernoctaciones,8219094,2020,9,Septiembre
Total,,Pernoctaciones,16927211,2020,8,Agosto
Total,,Pernoctaciones,11731245,2020,7,Julio
Total,,Pernoctaciones,1870057,2020,6,Junio
Total,,Pernoctaciones,271149,2020,5,Mayo
Total,,Pernoctaciones,,2020,4,Abril
Total,,Pernoctaciones,8372820,2020,3,Marzo
Total,,Pernoctaciones,17614206,2020,2,Febrero
Total,,Pernoctaciones,15968171,2020,1,Enero
Total,,Pernoctaciones,16966744,2019,12,Diciembre
Total,,Pernoctaciones,18339394,2019,11,Noviembre
Total,,Pernoctaciones,30363238,2019,10,Octubre
Total,,Pernoctaciones,37572668,2019,9,Septiembre
Total,,Pernoctaciones,47059511,2019,8,Agosto
Total,,Pernoctaciones,43199530,2019,7,Julio
Total,,Pernoctaciones,37163185,2019,6,Junio
Total,,Pernoctaciones,31905788,2019,5,Mayo
Total,,Pernoctaciones,26808982,2019,4,Abril
Total,,Pernoctaciones,21520914,2019,3,Marzo
Total,,Pernoctaciones,16589486,2019,2,Febrero
Total,,Pernoctaciones,15506154,2019,1,Enero
Total,,Pernoctaciones,16655848,2018,12,Diciembre
Total,,Pernoctaciones,18261076,2018,11,Noviembre
Total,,Pernoctaciones,31132356,2018,10,Octubre
Total,,Pernoctaciones,37768667,2018,9,Septiembre
Total,,Pernoctaciones,46306240,2018,8,Agosto
Total,,Pernoctaciones,42717096,2018,7,Julio
Total,,Pernoctaciones,36168465,2018,6,Junio
Total,,Pernoctaciones,31921157,2018,5,Mayo
Total,,Pernoctaciones,25207350,2018,4,Abril
Total,,Pernoctaciones,21918931,2018,3,Marzo
Total,,Pernoctaciones,16527859,2018,2,Febrero
Total,,Pernoctaciones,15395882,2018,1,Enero
Total,,Pernoctaciones,16211799,2017,12,Diciembre
Total,,Pernoctaciones,17537436,2017,11,Noviembre
