Totales Territoriales;Provincias;Totales Territoriales;Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Periodo;Total
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2024M12;0,63
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2024M11;0,82
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2024M10;1,03
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2024M09;1,65
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2024M08;1,51
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2024M07;2,24
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2024M06;2,46
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2024M05;1,03
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2024M04;0,55
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2024M03;0,81
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2024M02;4,77
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2024M01;1,82
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2023M12;0,79
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2023M11;2,77
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2023M10;0,78
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2023M09;2,10
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2023M08;1,88
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2023M07;2,25
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2023M06;1,68
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2023M05;1,48
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2023M04;0,84
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2023M03;2,34
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2023M02;3,19
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2023M01;0,80
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2022M12;0,47
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2022M11;1,65
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2022M10;1,00
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2022M09;2,55
