Zonas Turísticas;Viajeros y pernoctaciones;Residencia;Periodo;Total
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2023M05;66.657
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2023M04;53.488
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2023M03;38.357
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2023M02;36.060
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2023M01;26.581
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2022M12;26.163
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2022M11;32.296
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2022M10;70.916
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2022M09;49.623
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2022M08;76.339
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2022M07;59.806
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2022M06;80.200
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2022M05;55.300
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2022M04;54.485
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2022M03;40.232
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2022M02;27.342
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2022M01;13.390
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2021M12;19.729
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2021M11;23.822
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2021M10;55.740
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2021M09;48.360
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2021M08;58.799
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2021M07;45.103
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2021M06;41.106
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2021M05;25.938
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2021M04;16.157
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2021M03;9.112
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2021M02;6.389
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2021M01;4.745
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2020M12;8.371
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2020M11;10.765
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2020M10;16.917
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2020M09;26.762
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2020M08;46.885
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2020M07;20.934
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2020M06;.
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2020M05;.
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2020M04;0
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2020M03;11.907
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2020M02;32.915
Baleares (Illes): Palma - Calvía;Viajero;Residentes en España;2020M01;14.866
Baleares (Illes): Palma - Calvía;Viajero;Residentes en el Extranjero;2025M03;147.498
