RESIDENCIA/ORIGEN;Países;Viajeros y pernoctaciones;Periodo;Total
Total;;Pernoctaciones;2004M05;20.624.722
Total;;Pernoctaciones;2004M04;17.537.681
Total;;Pernoctaciones;2004M03;14.731.784
Total;;Pernoctaciones;2004M02;12.278.676
Total;;Pernoctaciones;2004M01;10.404.685
Total;;Pernoctaciones;2003M12;10.426.118
Total;;Pernoctaciones;2003M11;11.600.240
Total;;Pernoctaciones;2003M10;19.635.547
Total;;Pernoctaciones;2003M09;25.943.815
Total;;Pernoctaciones;2003M08;33.851.008
Total;;Pernoctaciones;2003M07;28.557.092
Total;;Pernoctaciones;2003M06;24.047.255
Total;;Pernoctaciones;2003M05;20.977.540
Total;;Pernoctaciones;2003M04;17.483.719
Total;;Pernoctaciones;2003M03;14.414.114
Total;;Pernoctaciones;2003M02;11.135.676
Total;;Pernoctaciones;2003M01;10.088.783
Total;;Pernoctaciones;2002M12;10.267.810
Total;;Pernoctaciones;2002M11;11.536.070
Total;;Pernoctaciones;2002M10;19.395.671
Total;;Pernoctaciones;2002M09;25.483.036
Total;;Pernoctaciones;2002M08;32.147.463
Total;;Pernoctaciones;2002M07;27.712.422
Total;;Pernoctaciones;2002M06;22.781.459
Total;;Pernoctaciones;2002M05;20.427.391
Total;;Pernoctaciones;2002M04;15.757.341
Total;;Pernoctaciones;2002M03;15.746.849
Total;;Pernoctaciones;2002M02;11.501.625
Total;;Pernoctaciones;2002M01;9.797.644
Total;;Pernoctaciones;2001M12;10.051.397
Total;;Pernoctaciones;2001M11;11.920.037
Total;;Pernoctaciones;2001M10;20.014.768
Total;;Pernoctaciones;2001M09;26.584.837
Total;;Pernoctaciones;2001M08;32.004.309
Total;;Pernoctaciones;2001M07;28.657.024
Total;;Pernoctaciones;2001M06;23.896.573
Total;;Pernoctaciones;2001M05;21.063.744
Total;;Pernoctaciones;2001M04;18.085.751
Total;;Pernoctaciones;2001M03;14.516.657
Total;;Pernoctaciones;2001M02;11.753.586
Total;;Pernoctaciones;2001M01;10.132.886
Total;;Pernoctaciones;2000M12;10.325.261
Total;;Pernoctaciones;2000M11;11.871.141
Total;;Pernoctaciones;2000M10;20.400.125
Total;;Pernoctaciones;2000M09;26.175.432
Total;;Pernoctaciones;2000M08;31.282.474
Total;;Pernoctaciones;2000M07;28.181.545
Total;;Pernoctaciones;2000M06;24.084.087
Total;;Pernoctaciones;2000M05;20.998.662
Total;;Pernoctaciones;2000M04;18.006.005
Total;;Pernoctaciones;2000M03;14.537.790
Total;;Pernoctaciones;2000M02;11.453.033
Total;;Pernoctaciones;2000M01;9.828.017
Total;;Pernoctaciones;1999M12;10.189.931
Total;;Pernoctaciones;1999M11;11.875.758
Total;;Pernoctaciones;1999M10;21.402.806
Total;;Pernoctaciones;1999M09;26.750.512
Total;;Pernoctaciones;1999M08;31.967.269
Total;;Pernoctaciones;1999M07;28.531.434
